"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.961672211E2
1.020827000E0	9.961624146E2
2.041945000E0	9.961576080E2
3.063108000E0	9.961476898E2
4.083701000E0	9.961433411E2
5.104757000E0	9.961408234E2
5.259205000E0	9.961380768E2
6.204744000E0	9.961380768E2
7.150444000E0	9.961380005E2
8.096144000E0	9.961348724E2
9.041774000E0	9.961311340E2
9.987696000E0	9.961280060E2
1.093371000E1	9.961238861E2
1.187953900E1	9.961183929E2
1.282484000E1	9.961168671E2
1.377082000E1	9.961138916E2
1.471685700E1	9.961094666E2
1.566281700E1	9.961038971E2
1.660884000E1	9.960971832E2
1.755476600E1	9.960919952E2
1.850070800E1	9.960867310E2
1.944650100E1	9.960813141E2
2.039217500E1	9.960768127E2
2.133802800E1	9.960742188E2
2.228353800E1	9.960729980E2
2.322926700E1	9.960729980E2
2.417506600E1	9.960737610E2
2.512080700E1	9.960747528E2
2.606695100E1	9.960751343E2
2.701294000E1	9.960811615E2
2.795910400E1	9.960874939E2
2.890516900E1	9.960968018E2
2.985123400E1	9.961026001E2
3.079732900E1	9.961090851E2
3.174327600E1	9.961090851E2
3.268903900E1	9.961079407E2
3.363477000E1	9.960999298E2
3.458059500E1	9.960946655E2
3.552600100E1	9.960896301E2
3.647156400E1	9.960856628E2
3.741731400E1	9.960831451E2
3.836338500E1	9.960831451E2
3.930920200E1	9.960872650E2
4.025515600E1	9.960898590E2
4.120069500E1	9.960918427E2
4.214650900E1	9.960941315E2
4.309232400E1	9.960941315E2
4.403818500E1	9.960932922E2
4.498361600E1	9.960919952E2
4.592947400E1	9.960897827E2
4.687516200E1	9.960861969E2
4.782061300E1	9.960845947E2
4.876627000E1	9.960845947E2
4.971179100E1	9.960845947E2
5.065695400E1	9.960903931E2
5.160228100E1	9.960962677E2
5.254730800E1	9.961009979E2
5.349212200E1	9.961074066E2
5.443719700E1	9.961089325E2
5.538203500E1	9.961089325E2
5.632620100E1	9.961048126E2
5.727122200E1	9.961042023E2
5.821617800E1	9.961042023E2
5.916118900E1	9.961070251E2
6.010606800E1	9.961141968E2
6.105090300E1	9.961251831E2
6.199558100E1	9.961329651E2
6.294026700E1	9.961386108E2
6.388495600E1	9.961421967E2
6.482979300E1	9.961421967E2
6.482979300E1	9.961615753E2
6.584927100E1	9.961622620E2
6.686878700E1	9.961628723E2
6.788849700E1	9.961671448E2
6.890802000E1	9.961671448E2
6.992769000E1	9.961579895E2
7.008424800E1	9.961560822E2
7.102806400E1	9.961537170E2
7.197201900E1	9.961537170E2
7.291593600E1	9.961531067E2
7.385981800E1	9.961531067E2
7.480374500E1	9.961560059E2
7.574790400E1	9.961573029E2
7.669219900E1	9.961618805E2
7.763643800E1	9.961633301E2
