"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.963870239E2
1.025938000E0	9.963862610E2
2.051740000E0	9.963854218E2
3.077522000E0	9.963802338E2
4.103015000E0	9.963771820E2
5.128686000E0	9.963746643E2
5.276661000E0	9.963745117E2
6.226325000E0	9.963743591E2
7.175884000E0	9.963743591E2
8.125179000E0	9.963772583E2
9.074139000E0	9.963804626E2
1.002398800E1	9.963854980E2
1.097382200E1	9.963920593E2
1.192349500E1	9.963940430E2
1.287321600E1	9.963940430E2
1.382289700E1	9.963935852E2
1.477255200E1	9.963928223E2
1.572243300E1	9.963892365E2
1.667199800E1	9.963892365E2
1.762172800E1	9.963913727E2
1.857122000E1	9.963954926E2
1.952067000E1	9.963954926E2
2.047003900E1	9.963952637E2
2.141928600E1	9.963915253E2
2.236846100E1	9.963867188E2
2.331760300E1	9.963786316E2
2.426657700E1	9.963690186E2
2.521545900E1	9.963604736E2
2.616428100E1	9.963539886E2
2.711315300E1	9.963539886E2
2.806192300E1	9.963562012E2
2.901067200E1	9.963603973E2
2.995955600E1	9.963633728E2
3.090815300E1	9.963633728E2
3.185670300E1	9.963616943E2
3.280520300E1	9.963565826E2
3.375358300E1	9.963530731E2
3.470197000E1	9.963530731E2
3.565036300E1	9.963530731E2
3.659874600E1	9.963533020E2
3.754681000E1	9.963533020E2
3.849507400E1	9.963524628E2
3.944333000E1	9.963500977E2
4.039151300E1	9.963500977E2
4.133949000E1	9.963510132E2
4.228756400E1	9.963552094E2
4.323533800E1	9.963592529E2
4.418323700E1	9.963671112E2
4.513147500E1	9.963751221E2
4.607992900E1	9.963816071E2
4.702833000E1	9.963883972E2
4.797670700E1	9.963947296E2
4.892513200E1	9.963987732E2
4.987360900E1	9.964002228E2
5.082205700E1	9.964004517E2
5.177041000E1	9.964004517E2
5.271887800E1	9.963972473E2
5.366734100E1	9.963942719E2
5.461564200E1	9.963931274E2
5.556394400E1	9.963928223E2
5.651212800E1	9.963904572E2
5.746053500E1	9.963874054E2
5.840925300E1	9.963874054E2
5.935789500E1	9.963885498E2
