"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.960090637E2
1.022963000E0	9.960148621E2
2.045703000E0	9.960206604E2
3.068499000E0	9.960316467E2
4.091243000E0	9.960398865E2
5.113728000E0	9.960467529E2
5.265641000E0	9.960488892E2
6.212564000E0	9.960511780E2
7.159405000E0	9.960522461E2
8.106286000E0	9.960522461E2
9.053147000E0	9.960505676E2
9.999757000E0	9.960482025E2
1.094656100E1	9.960456848E2
1.189325100E1	9.960413361E2
1.284025000E1	9.960385132E2
1.378706500E1	9.960368347E2
1.473394200E1	9.960341644E2
1.568093000E1	9.960341644E2
1.662786000E1	9.960341644E2
1.757480100E1	9.960346222E2
1.852081700E1	9.960349274E2
1.946770400E1	9.960363770E2
2.041476600E1	9.960368347E2
2.136195100E1	9.960450745E2
2.230908300E1	9.960475922E2
2.325598900E1	9.960475922E2
2.420266700E1	9.960447693E2
2.514868600E1	9.960430908E2
2.609552300E1	9.960317230E2
2.704217800E1	9.960224915E2
2.798853100E1	9.960150146E2
2.893494000E1	9.960070801E2
2.988156400E1	9.960054016E2
3.082823800E1	9.959992218E2
3.177498700E1	9.959931183E2
3.272160800E1	9.959901428E2
3.366812400E1	9.959887695E2
3.461470400E1	9.959825134E2
3.556155200E1	9.959823608E2
3.650837000E1	9.959823608E2
3.745505600E1	9.959865570E2
3.840155400E1	9.959895325E2
3.934816000E1	9.959922791E2
4.029419200E1	9.959959412E2
4.124045200E1	9.960011292E2
4.218686900E1	9.960034180E2
4.313334500E1	9.960061646E2
4.407984300E1	9.960090637E2
4.502640500E1	9.960112000E2
4.597282400E1	9.960133362E2
4.691900900E1	9.960149384E2
4.786499600E1	9.960149384E2
4.881099600E1	9.960146332E2
4.975706900E1	9.960128021E2
5.070317500E1	9.960089111E2
5.164914200E1	9.960068512E2
5.259521700E1	9.960068512E2
5.354113700E1	9.960073090E2
5.448701300E1	9.960095978E2
5.543289600E1	9.960154724E2
5.637882900E1	9.960228729E2
5.732460800E1	9.960292816E2
