"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.960853577E2
1.018752000E0	9.960913849E2
2.037340000E0	9.960974121E2
3.055772000E0	9.961078644E2
4.073977000E0	9.961078644E2
5.092722000E0	9.961065674E2
5.251108000E0	9.961042786E2
6.194903000E0	9.961011505E2
7.138545000E0	9.960984039E2
8.082158000E0	9.960916138E2
9.025882000E0	9.960866547E2
9.969467000E0	9.960816956E2
1.091314600E1	9.960758972E2
1.185707400E1	9.960710144E2
1.280092000E1	9.960667419E2
1.374471400E1	9.960617828E2
1.468853000E1	9.960579681E2
1.563158600E1	9.960550690E2
1.657549800E1	9.960494995E2
1.751910200E1	9.960449982E2
1.846282500E1	9.960436249E2
1.940657800E1	9.960436249E2
2.035037000E1	9.960441589E2
2.129394500E1	9.960473633E2
2.223792000E1	9.960517120E2
2.318189300E1	9.960530090E2
2.412581200E1	9.960533905E2
2.506949200E1	9.960538483E2
2.601319500E1	9.960538483E2
2.695683000E1	9.960537720E2
2.790055800E1	9.960534668E2
2.884408700E1	9.960534668E2
2.978773500E1	9.960516357E2
3.073134000E1	9.960494232E2
3.167448400E1	9.960454559E2
3.261722800E1	9.960419464E2
3.356059500E1	9.960385895E2
3.450408700E1	9.960358429E2
3.544761600E1	9.960324860E2
3.639109200E1	9.960286713E2
3.733438500E1	9.960265350E2
3.827782100E1	9.960247803E2
3.922107300E1	9.960247803E2
4.016429700E1	9.960300446E2
4.110745000E1	9.960375214E2
4.205057600E1	9.960437012E2
4.299383400E1	9.960494232E2
4.393708100E1	9.960536194E2
4.488026800E1	9.960564423E2
4.582330800E1	9.960585022E2
4.676629900E1	9.960607147E2
4.770951600E1	9.960627747E2
4.865267700E1	9.960641479E2
4.959500900E1	9.960641479E2
5.053821800E1	9.960620880E2
5.148121600E1	9.960565948E2
5.242428100E1	9.960531616E2
5.336736300E1	9.960497284E2
5.431022900E1	9.960483551E2
5.525308200E1	9.960473633E2
5.619593600E1	9.960473633E2
5.713875600E1	9.960482025E2
5.808143300E1	9.960482025E2
5.902376400E1	9.960482025E2
5.996705900E1	9.960534668E2
6.091031300E1	9.960632324E2
6.185365900E1	9.960742188E2
6.279694000E1	9.960889435E2
6.374028600E1	9.961038208E2
