"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.960778046E2
1.018891000E0	9.960751343E2
2.038008000E0	9.960724640E2
3.056899000E0	9.960724640E2
4.075658000E0	9.960789490E2
5.094401000E0	9.960789490E2
5.251928000E0	9.960705566E2
6.195449000E0	9.960691833E2
7.138887000E0	9.960647583E2
8.082303000E0	9.960544586E2
9.025795000E0	9.960427094E2
9.969499000E0	9.960340118E2
1.091296200E1	9.960260773E2
1.185642500E1	9.960210419E2
1.280011000E1	9.960165405E2
1.374393500E1	9.960136414E2
1.468789100E1	9.960128021E2
1.563180000E1	9.960114288E2
1.657572800E1	9.960081482E2
1.751957500E1	9.960037994E2
1.846228000E1	9.960011292E2
1.940556000E1	9.959983063E2
2.034958500E1	9.959962463E2
2.129324900E1	9.959962463E2
2.223720000E1	9.959988403E2
2.318126500E1	9.960011292E2
2.412544200E1	9.960017395E2
2.506947700E1	9.960017395E2
2.601345400E1	9.959974670E2
2.695742300E1	9.959922791E2
2.790146000E1	9.959872437E2
2.884536600E1	9.959782410E2
2.978913500E1	9.959709930E2
3.073302900E1	9.959651184E2
3.167683600E1	9.959597015E2
3.262038500E1	9.959525299E2
3.356386400E1	9.959468842E2
3.450755000E1	9.959408569E2
3.545101600E1	9.959343719E2
3.639439000E1	9.959284973E2
3.733802800E1	9.959284973E2
3.828130600E1	9.959307098E2
3.922465400E1	9.959376526E2
4.016785200E1	9.959449768E2
4.111107600E1	9.959513092E2
4.205412400E1	9.959543610E2
4.299727900E1	9.959543610E2
4.394039200E1	9.959502411E2
4.488345400E1	9.959464264E2
4.582651900E1	9.959432220E2
4.676966200E1	9.959393311E2
4.771270600E1	9.959384155E2
4.865574700E1	9.959384155E2
4.959872900E1	9.959394836E2
5.054154300E1	9.959418488E2
5.148437500E1	9.959441376E2
5.242725000E1	9.959441376E2
5.337008000E1	9.959437561E2
5.431290700E1	9.959422302E2
5.525570700E1	9.959391785E2
5.619845900E1	9.959362793E2
