"Time (s)"	"Pressure (hPa)"
0.000000000E0	9.957888031E2
1.020466000E0	9.957875061E2
2.040982000E0	9.957862854E2
3.061755000E0	9.957804871E2
4.082505000E0	9.957767487E2
5.103378000E0	9.957767487E2
5.258651000E0	9.957767487E2
6.203791000E0	9.957754517E2
7.149113000E0	9.957750702E2
8.094417000E0	9.957749939E2
9.039850000E0	9.957708740E2
9.985284000E0	9.957646179E2
1.093072000E1	9.957587433E2
1.187603800E1	9.957516479E2
1.282117600E1	9.957440948E2
1.376627400E1	9.957372284E2
1.471139400E1	9.957309723E2
1.565659700E1	9.957239532E2
1.660152200E1	9.957165527E2
1.754662900E1	9.957068634E2
1.849161900E1	9.956981659E2
1.943656900E1	9.956897736E2
2.038155100E1	9.956836700E2
2.132641100E1	9.956785583E2
2.227125200E1	9.956758118E2
2.321616100E1	9.956738281E2
2.416003200E1	9.956738281E2
2.510469100E1	9.956759644E2
2.604960200E1	9.956803894E2
2.699442200E1	9.956875610E2
2.793916500E1	9.956970978E2
2.888388700E1	9.957072449E2
2.982841300E1	9.957146454E2
3.077301900E1	9.957146454E2
3.171748200E1	9.957141113E2
3.266215100E1	9.957097626E2
3.360679100E1	9.957057190E2
3.455142600E1	9.957044220E2
3.549576100E1	9.957044220E2
3.644021700E1	9.957067871E2
3.738451900E1	9.957090759E2
3.832887800E1	9.957113647E2
3.927326600E1	9.957141113E2
4.021775200E1	9.957161713E2
4.116210500E1	9.957183838E2
4.210621800E1	9.957193756E2
4.305022600E1	9.957215118E2
4.399447400E1	9.957225037E2
4.493882100E1	9.957226562E2
4.588275000E1	9.957229614E2
4.682660300E1	9.957229614E2
4.777089800E1	9.957237244E2
4.871506300E1	9.957253265E2
4.965929400E1	9.957289124E2
5.060357900E1	9.957324982E2
5.154774100E1	9.957369995E2
5.249180400E1	9.957433319E2
5.343587800E1	9.957497406E2
5.437989500E1	9.957548523E2
5.532371400E1	9.957600403E2
5.626755800E1	9.957640076E2
5.721169200E1	9.957672119E2
5.815565600E1	9.957695007E2
5.909955200E1	9.957732391E2
